"Artist Name","Rating"
"Eminem","18"
"Mac Miller","12"
"Billie Eilish","6"
"Post Malone","6"
"Ed Sheeran","5"
"DaBaby","4"
"Halsey","4"
"Harry Styles","4"
"J Balvin","4"
"Travis Scott","4"
"Jonas Brothers","3"
"Juice WRLD","3"
"Lewis Capaldi","3"
"Selena Gomez","3"
"XXXTENTACION","3"
"Ariana Grande","2"
"Arizona Zervas","2"
"Bad Bunny","2"
"blackbear","2"
"BTS","2"
"Camila Cabello","2"
"Daddy Yankee","2"
"Dalex","2"
"Kina","2"
"Lauv","2"
"Lil Baby","2"
"Lizzo","2"
"Lunay","2"
"Maroon 5","2"
"MEDUZA","2"
"Nicky Jam","2"
"Rich Music LTD","2"
"Roddy Ricch","2"
"ROSALÍA","2"
"Sam Smith","2"
"Sech","2"
"Shawn Mendes","2"
"The Weeknd","2"
"Tones and I","2"
"YNW Melly","2"
"5 Seconds of Summer","1"
"Alan Walker","1"
"Ali Gatie","1"
"Ant Saunders","1"
"Anuel AA","1"
"Arcangel","1"
"Ava Max","1"
"benny blanco","1"
"BROCKHAMPTON","1"
"Camilo","1"
"Chris Brown","1"
"Conan Gray","1"
"Dan + Shay","1"
"Dean Lewis","1"
"Dimelo Flow","1"
"DJ Snake","1"
"Doja Cat","1"
"Dominic Fike","1"
"Don Toliver","1"
"Drake","1"
"Dua Lipa","1"
"Ellie Goulding","1"
"Future","1"
"Gambi","1"
"Henrique & Juliano","1"
"Imagine Dragons","1"
"J. Cole","1"
"JACKBOYS","1"
"James Arthur","1"
"Jhay Cortez","1"
"JP Saxe","1"
"Juju","1"
"Justin Bieber","1"
"Justin Quiles","1"
"KAROL G","1"
"Khalid","1"
"Kygo","1"
"Lady Gaga","1"
"Lil Nas X","1"
"Lil Tecca","1"
"Lil Uzi Vert","1"
"Maes","1"
"Marshmello","1"
"Matthew Wilder","1"
"Mustard","1"
"Noah Cyrus","1"
"Olivia Rodrigo","1"
"Panic! At The Disco","1"
"Piso 21","1"
"Queen","1"
"Rauw Alejandro","1"
"Red Velvet","1"
"Regard","1"
"Reik","1"
"Riton","1"
"SAINt JHN","1"
"SHAED","1"
"Shakira","1"
"Stormzy","1"
"Surfaces","1"
"Tainy","1"
"The Black Eyed Peas","1"
"Thiaguinho MT","1"
"Trevor Daniel","1"
"Tyga","1"
"Ufo361","1"
"Y2K","1"
"Young Thug","1"
