"Artist Name","Rating"
"5 Seconds of Summer","1"
"Alan Walker","1"
"Ali Gatie","1"
"Ant Saunders","1"
"Anuel AA","1"
"Arcangel","1"
"Ariana Grande","2"
"Arizona Zervas","2"
"Ava Max","1"
"Bad Bunny","2"
"benny blanco","1"
"Billie Eilish","6"
"blackbear","2"
"BROCKHAMPTON","1"
"BTS","2"
"Camila Cabello","2"
"Camilo","1"
"Chris Brown","1"
"Conan Gray","1"
"DaBaby","4"
"Daddy Yankee","2"
"Dalex","2"
"Dan + Shay","1"
"Dean Lewis","1"
"Dimelo Flow","1"
"DJ Snake","1"
"Doja Cat","1"
"Dominic Fike","1"
"Don Toliver","1"
"Drake","1"
"Dua Lipa","1"
"Ed Sheeran","5"
"Ellie Goulding","1"
"Eminem","18"
"Future","1"
"Gambi","1"
"Halsey","4"
"Harry Styles","4"
"Henrique & Juliano","1"
"Imagine Dragons","1"
"J Balvin","4"
"J. Cole","1"
"JACKBOYS","1"
"James Arthur","1"
"Jhay Cortez","1"
"Jonas Brothers","3"
"JP Saxe","1"
"Juice WRLD","3"
"Juju","1"
"Justin Bieber","1"
"Justin Quiles","1"
"KAROL G","1"
"Khalid","1"
"Kina","2"
"Kygo","1"
"Lady Gaga","1"
"Lauv","2"
"Lewis Capaldi","3"
"Lil Baby","2"
"Lil Nas X","1"
"Lil Tecca","1"
"Lil Uzi Vert","1"
"Lizzo","2"
"Lunay","2"
"Mac Miller","12"
"Maes","1"
"Maroon 5","2"
"Marshmello","1"
"Matthew Wilder","1"
"MEDUZA","2"
"Mustard","1"
"Nicky Jam","2"
"Noah Cyrus","1"
"Olivia Rodrigo","1"
"Panic! At The Disco","1"
"Piso 21","1"
"Post Malone","6"
"Queen","1"
"Rauw Alejandro","1"
"Red Velvet","1"
"Regard","1"
"Reik","1"
"Rich Music LTD","2"
"Riton","1"
"Roddy Ricch","2"
"ROSALÍA","2"
"SAINt JHN","1"
"Sam Smith","2"
"Sech","2"
"Selena Gomez","3"
"SHAED","1"
"Shakira","1"
"Shawn Mendes","2"
"Stormzy","1"
"Surfaces","1"
"Tainy","1"
"The Black Eyed Peas","1"
"The Weeknd","2"
"Thiaguinho MT","1"
"Tones and I","2"
"Travis Scott","4"
"Trevor Daniel","1"
"Tyga","1"
"Ufo361","1"
"XXXTENTACION","3"
"Y2K","1"
"YNW Melly","2"
"Young Thug","1"
